YEAR,QUARTER,ID,EMP1,EMP2,EMP3,EMP4,EMP5,EMP6
2005,1,65,132116.0,132416.0,132866.0,133316.0,133816.0,134391.0
2005,1,99,132116.0,132629.0,133169.0,133661.0,134168.0,134624.0
2005,1,411,132116.0,132660.0,133248.0,133818.0,134383.0,134946.0
2005,1,420,132116.0,132836.0,133541.0,134321.0,134996.0,135641.0
2005,1,421,132116.0,132537.0,133197.0,133925.0,134680.0,135375.0
2005,1,426,132116.0,132555.0,132950.0,133200.0,134150.0,134874.0
2005,1,428,132116.0,132659.0,133290.0,133940.0,134527.0,135039.0
2005,1,429,132116.0,132554.0,133085.0,133590.0,134045.0,134565.0
2005,1,431,132116.0,132300.0,132900.0,133500.0,134000.0,134600.0
2005,1,433,132116.0,132561.0,133036.0,133577.0,134138.0,136847.0
2005,1,446,132116.0,132621.0,133221.0,133820.0,134319.0,134918.0
2005,1,448,132116.0,132572.0,133051.0,133473.0,133938.0,134465.0
2005,1,456,132116.0,132565.0,133165.0,133764.0,134363.0,134962.0
2005,1,463,132116.0,132565.0,133105.0,133644.0,134183.0,134725.0
2005,1,472,132116.0,132559.0,133141.0,133550.0,134012.0,134455.0
2005,1,483,132116.0,132314.0,132480.0,132644.0,132810.0,132976.0
2005,1,484,132116.0,132611.0,133142.0,133674.0,134243.0,134746.0
2005,1,497,,,,,,
2005,1,498,,,,,,
2005,1,502,132116.0,132600.0,133000.0,133400.0,133700.0,133900.0
2005,1,504,132116.0,133015.0,133914.0,134812.0,135711.0,136610.0
2005,1,506,132116.0,132574.0,133270.0,133817.0,134296.0,134652.0
2005,1,507,132116.0,132609.0,133186.0,133797.0,134511.0,135250.0
2005,1,508,132116.0,132621.0,133225.0,133720.0,134525.0,135153.0
2005,1,510,132116.0,132667.0,133658.0,134629.0,135538.0,136143.0
2005,1,512,132116.0,132563.0,133292.0,133778.0,134299.0,134756.0
2005,1,516,132116.0,132682.0,133571.0,134087.0,134818.0,135436.0
2005,1,518,132116.0,132243.0,132698.0,133241.0,133796.0,134342.0
2005,1,520,132116.0,132544.0,132994.0,133446.0,133893.0,134342.0
2005,1,521,132116.0,132636.0,133171.0,133646.0,134096.0,134546.0
2005,1,523,,,,,,
2005,1,524,132116.0,132593.0,133342.0,133701.0,133562.0,133663.0
2005,1,526,132116.0,132798.0,133379.0,134121.0,134843.0,135576.0
2005,1,527,132116.0,132550.0,133050.0,133600.0,134150.0,134650.0
2005,1,528,132116.0,132571.0,133036.0,133500.0,133965.0,134429.0
2005,2,20,,,,,,
2005,2,65,132772.0,133132.0,133462.0,133807.0,134182.0,134602.0
2005,2,84,,,,,,
2005,2,99,132772.0,133357.0,133960.0,134539.0,135070.0,135577.0
